Rank,Batsam Name,Total Runs Scored,Average,Strikerate
490,LH Ferguson,1,,100
491,H Gurney,1,,20
492,L Plunkett,1,1,33.33333333
493,BE Hendricks,1,1,33.33333333
494,P Parameswaran,1,,50
495,DP Vijaykumar,1,,100
496,DJ Muthuswami,1,1,33.33333333
497,M Wood,1,1,33.33333333
498,NJ Rimmington,1,,100
499,P Krishna,1,1,14.28571429
500,M de Lange,1,1,50
501,K Ahmed,0,0,0
502,C Nanda,0,0,0
503,YA Abdulla,0,,0
504,U Kaul,0,,0
505,P Raj,0,,0
506,S Lamichhane,0,0,0
507,RR Bhatkal,0,0,0
508,IC Pandey,0,0,0
509,L Ablish,0,,0
510,Abdur Razzak,0,,0
511,Sunny Gupta,0,0,0
512,ND Doshi,0,0,0
513,J Denly,0,0,0
514,S Ladda,0,0,0
515,V Pratap Singh,0,0,0
516,S Kaushik,0,0,0
